 VARIABLES = "X", "Y", "U", "V", "T"
 ZONE I= 21, J= 21, F=POINT 
   0.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    0.000E+00,    0.000E+00,    0.000E+00,    1.553E-01
   1.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -7.457E-02
   1.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.959E-01
   2.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.557E-01
   2.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.862E-01
   3.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.036E-01
   3.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.153E-01
   4.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.246E-01
   4.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.331E-01
   5.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.415E-01
   5.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.502E-01
   6.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.596E-01
   6.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.699E-01
   7.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.813E-01
   7.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.940E-01
   8.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.088E-01
   8.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.263E-01
   9.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.475E-01
   9.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.725E-01
   1.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,   -5.000E-01
   0.000E+00,    5.000E-02,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    5.000E-02,   -1.316E+01,    9.287E+00,    1.528E-01
   1.000E-01,    5.000E-02,   -2.146E+01,    3.076E+00,   -7.852E-02
   1.500E-01,    5.000E-02,   -2.373E+01,   -8.626E-01,   -1.992E-01
   2.000E-01,    5.000E-02,   -2.320E+01,   -1.879E+00,   -2.571E-01
   2.500E-01,    5.000E-02,   -2.209E+01,   -1.574E+00,   -2.861E-01
   3.000E-01,    5.000E-02,   -2.129E+01,   -9.079E-01,   -3.024E-01
   3.500E-01,    5.000E-02,   -2.109E+01,   -2.275E-01,   -3.135E-01
   4.000E-01,    5.000E-02,   -2.153E+01,    3.785E-01,   -3.222E-01
   4.500E-01,    5.000E-02,   -2.255E+01,    9.050E-01,   -3.301E-01
   5.000E-01,    5.000E-02,   -2.407E+01,    1.352E+00,   -3.379E-01
   5.500E-01,    5.000E-02,   -2.594E+01,    1.670E+00,   -3.460E-01
   6.000E-01,    5.000E-02,   -2.787E+01,    1.755E+00,   -3.545E-01
