 VARIABLES = "X", "Y", "U", "V", "T"
 ZONE I= 21, J= 21, F=POINT 
   0.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    0.000E+00,    0.000E+00,    0.000E+00,    2.762E-01
   1.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,    8.772E-02
   1.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -5.026E-02
   2.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.427E-01
   2.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.023E-01
   3.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.409E-01
   3.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.669E-01
   4.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.857E-01
   4.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.007E-01
   5.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.139E-01
   5.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.266E-01
   6.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.394E-01
   6.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.530E-01
   7.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.678E-01
   7.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.842E-01
   8.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.026E-01
   8.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.234E-01
   9.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.467E-01
   9.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.726E-01
   1.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,   -5.000E-01
   0.000E+00,    5.000E-02,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    5.000E-02,   -4.071E+00,    3.294E+00,    2.735E-01
   1.000E-01,    5.000E-02,   -8.235E+00,    2.235E+00,    8.305E-02
   1.500E-01,    5.000E-02,   -1.069E+01,    8.301E-01,   -5.544E-02
   2.000E-01,    5.000E-02,   -1.175E+01,    3.120E-02,   -1.470E-01
   2.500E-01,    5.000E-02,   -1.210E+01,   -2.119E-01,   -2.050E-01
   3.000E-01,    5.000E-02,   -1.226E+01,   -1.450E-01,   -2.421E-01
   3.500E-01,    5.000E-02,   -1.247E+01,    3.562E-02,   -2.668E-01
   4.000E-01,    5.000E-02,   -1.283E+01,    2.228E-01,   -2.846E-01
   4.500E-01,    5.000E-02,   -1.332E+01,    3.643E-01,   -2.989E-01
   5.000E-01,    5.000E-02,   -1.386E+01,    4.310E-01,   -3.115E-01
   5.500E-01,    5.000E-02,   -1.435E+01,    3.992E-01,   -3.236E-01
   6.000E-01,    5.000E-02,   -1.462E+01,    2.437E-01,   -3.359E-01
