 VARIABLES = "X", "Y", "U", "V", "T"
 ZONE I= 21, J= 21, F=POINT 
   0.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    0.000E+00,    0.000E+00,    0.000E+00,    3.674E-01
   1.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,    2.412E-01
   1.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,    1.273E-01
   2.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,    2.988E-02
   2.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -5.026E-02
   3.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.145E-01
   3.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -1.655E-01
   4.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.062E-01
   4.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.393E-01
   5.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.670E-01
   5.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -2.913E-01
   6.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.135E-01
   6.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.347E-01
   7.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.557E-01
   7.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.772E-01
   8.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -3.995E-01
   8.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.229E-01
   9.000E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.476E-01
   9.500E-01,    0.000E+00,    0.000E+00,    0.000E+00,   -4.734E-01
   1.000E+00,    0.000E+00,    0.000E+00,    0.000E+00,   -5.000E-01
   0.000E+00,    5.000E-02,    0.000E+00,    0.000E+00,    5.000E-01
   5.000E-02,    5.000E-02,   -8.379E-01,    7.652E-01,    3.664E-01
   1.000E-01,    5.000E-02,   -2.138E+00,    8.430E-01,    2.391E-01
   1.500E-01,    5.000E-02,   -3.337E+00,    6.606E-01,    1.245E-01
   2.000E-01,    5.000E-02,   -4.262E+00,    4.455E-01,    2.680E-02
   2.500E-01,    5.000E-02,   -4.914E+00,    2.789E-01,   -5.313E-02
   3.000E-01,    5.000E-02,   -5.357E+00,    1.714E-01,   -1.168E-01
   3.500E-01,    5.000E-02,   -5.653E+00,    1.076E-01,   -1.671E-01
   4.000E-01,    5.000E-02,   -5.844E+00,    6.657E-02,   -2.071E-01
   4.500E-01,    5.000E-02,   -5.947E+00,    3.003E-02,   -2.394E-01
   5.000E-01,    5.000E-02,   -5.959E+00,   -1.626E-02,   -2.665E-01
   5.500E-01,    5.000E-02,   -5.861E+00,   -8.232E-02,   -2.903E-01
   6.000E-01,    5.000E-02,   -5.627E+00,   -1.724E-01,   -3.121E-01
