" VARIABLES = ""X"""," ""Y"""," ""U"""," ""V"""," ""T""",,,
 ZONE I= 76, J= 76, F=POINT ,,,,-1116988741,-1116988702
0,0.00E+00,0.00E+00,0.00E+00,-2.08E+07,,NO,NO
0.01333,0.00E+00,0.00E+00,0.00E+00,-3.27E+07,,9795000150,NO
0.02667,0.00E+00,0.00E+00,0.00E+00,-1.88E+07,,NO,NO
0.04,0.00E+00,0.00E+00,0.00E+00,-2.68E+07,,NO,NO
0.05333,0.00E+00,0.00E+00,0.00E+00,9.43E+05,,NO,NO
0.06667,0.00E+00,0.00E+00,0.00E+00,-9.52E+03,,NO,NO
0.08,0.00E+00,0.00E+00,0.00E+00,2.91E+02,,NO,NO
0.09333,0.00E+00,0.00E+00,0.00E+00,-7.59E+01,,NO,NO
0.1067,0.00E+00,0.00E+00,0.00E+00,9.22E+00,,NO,NO
0.12,0.00E+00,0.00E+00,0.00E+00,-1.49E+00,,NO,NO
0.1333,0.00E+00,0.00E+00,0.00E+00,5.88E-01,,NO,NO
0.1467,0.00E+00,0.00E+00,0.00E+00,-1.76E-01,,NO,NO
0.16,0.00E+00,0.00E+00,0.00E+00,9.52E-02,,NO,NO
0.1733,0.00E+00,0.00E+00,0.00E+00,-2.19E-02,,NO,NO
0.1867,0.00E+00,0.00E+00,0.00E+00,8.89E-03,,NO,NO
0.2,0.00E+00,0.00E+00,0.00E+00,-1.10E-03,,NO,NO
0.2133,0.00E+00,0.00E+00,0.00E+00,3.57E-04,,NO,NO
0.2267,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.24,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.2533,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.2667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.2933,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.3067,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.32,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.3333,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.3467,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.36,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.3733,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.3867,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4133,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4267,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.44,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4533,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.48,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.4933,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.5067,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.52,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.5333,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.5467,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.56,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.5733,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.5867,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6133,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6267,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.64,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6533,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6667,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.68,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.6933,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.7067,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.72,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.7333,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.7467,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.76,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.7733,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,NO,NO
0.7867,0.00E+00,0.00E+00,0.00E+00,-5.99E-05,,NO,NO
0.8,0.00E+00,0.00E+00,0.00E+00,6.71E-04,,NO,NO
0.8133,0.00E+00,0.00E+00,0.00E+00,-2.31E-03,,NO,NO
0.8267,0.00E+00,0.00E+00,0.00E+00,1.09E-02,,NO,NO
0.84,0.00E+00,0.00E+00,0.00E+00,6.56E-03,,NO,NO
0.8533,0.00E+00,0.00E+00,0.00E+00,-1.81E-01,,NO,NO
0.8667,0.00E+00,0.00E+00,0.00E+00,1.83E+00,,NO,NO
0.88,0.00E+00,0.00E+00,0.00E+00,-1.04E+01,,NO,NO
0.8933,0.00E+00,0.00E+00,0.00E+00,5.45E+01,,NO,NO
0.9067,0.00E+00,0.00E+00,0.00E+00,-2.89E+02,,NO,NO
0.92,0.00E+00,0.00E+00,0.00E+00,1.53E+03,,NO,NO
0.9333,0.00E+00,0.00E+00,0.00E+00,-1.57E+04,,NO,NO
0.9467,0.00E+00,0.00E+00,0.00E+00,-2.32E+05,,NO,NO
0.96,0.00E+00,0.00E+00,0.00E+00,1.62E+07,,NO,NO
0.9733,0.00E+00,0.00E+00,0.00E+00,-1.33E+08,,NO,NO
0.9867,0.00E+00,0.00E+00,0.00E+00,-1.00E+08,,NO,-30059999850
1,0.00E+00,0.00E+00,0.00E+00,2.44E+07,,NO,NO
0,1.33E-02,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,1.33E-02,-1.91E+18,1.12E+19,-1.42E+07,,4257000150,NO
0.02667,1.33E-02,5.97E+18,5.35E+18,-1.29E+07,,NO,NO
0.04,1.33E-02,2.86E+17,-1.11E+19,9.76E+06,,NO,NO
0.05333,1.33E-02,1.41E+17,-5.36E+17,-5.71E+03,,NO,NO
0.06667,1.33E-02,9.22E+16,-1.51E+17,2.55E+04,,NO,NO
0.08,1.33E-02,6.91E+16,-2.76E+16,-1.46E+02,,NO,NO
0.09333,1.33E-02,5.30E+16,2.08E+15,8.11E+00,,NO,NO
0.1067,1.33E-02,4.09E+16,7.72E+15,6.04E+00,,NO,NO
0.12,1.33E-02,3.17E+16,7.45E+15,-2.46E+00,,NO,NO
0.1333,1.33E-02,2.48E+16,6.03E+15,1.07E+00,,NO,NO
0.1467,1.33E-02,1.96E+16,4.65E+15,-2.94E-01,,NO,NO
0.16,1.33E-02,1.58E+16,3.55E+15,1.14E-01,,NO,NO
0.1733,1.33E-02,1.28E+16,2.71E+15,-2.42E-02,,NO,NO
0.1867,1.33E-02,1.06E+16,2.09E+15,8.94E-03,,NO,NO
0.2,1.33E-02,8.79E+15,1.63E+15,-1.09E-03,,NO,NO
0.2133,1.33E-02,7.40E+15,1.28E+15,3.49E-04,,NO,NO
0.2267,1.33E-02,6.30E+15,1.02E+15,0.00E+00,,NO,NO
0.24,1.33E-02,5.42E+15,8.21E+14,0.00E+00,,NO,NO
0.2533,1.33E-02,4.71E+15,6.65E+14,0.00E+00,,NO,NO
0.2667,1.33E-02,4.13E+15,5.43E+14,0.00E+00,,NO,NO
0.28,1.33E-02,3.65E+15,4.47E+14,0.00E+00,,NO,NO
0.2933,1.33E-02,3.25E+15,3.70E+14,0.00E+00,,NO,NO
0.3067,1.33E-02,2.92E+15,3.08E+14,0.00E+00,,NO,NO
0.32,1.33E-02,2.65E+15,2.57E+14,0.00E+00,,NO,NO
0.3333,1.33E-02,2.42E+15,2.15E+14,0.00E+00,,NO,NO
0.3467,1.33E-02,2.22E+15,1.80E+14,0.00E+00,,NO,NO
0.36,1.33E-02,2.06E+15,1.51E+14,0.00E+00,,NO,NO
0.3733,1.33E-02,1.93E+15,1.27E+14,0.00E+00,,NO,NO
0.3867,1.33E-02,1.81E+15,1.05E+14,0.00E+00,,NO,NO
0.4,1.33E-02,1.72E+15,8.70E+13,0.00E+00,,NO,NO
0.4133,1.33E-02,1.64E+15,7.08E+13,0.00E+00,,NO,NO
0.4267,1.33E-02,1.58E+15,5.65E+13,0.00E+00,,NO,NO
0.44,1.33E-02,1.53E+15,4.34E+13,0.00E+00,,NO,NO
0.4533,1.33E-02,1.49E+15,3.15E+13,0.00E+00,,NO,NO
0.4667,1.33E-02,1.47E+15,2.02E+13,0.00E+00,,NO,NO
0.48,1.33E-02,1.45E+15,9.49E+12,0.00E+00,,NO,NO
0.4933,1.33E-02,1.45E+15,-1.00E+12,0.00E+00,,NO,NO
0.5067,1.33E-02,1.46E+15,-1.15E+13,0.00E+00,,NO,NO
0.52,1.33E-02,1.47E+15,-2.21E+13,0.00E+00,,NO,NO
0.5333,1.33E-02,1.50E+15,-3.32E+13,0.00E+00,,NO,NO
0.5467,1.33E-02,1.54E+15,-4.50E+13,0.00E+00,,NO,NO
0.56,1.33E-02,1.59E+15,-5.78E+13,0.00E+00,,NO,NO
0.5733,1.33E-02,1.65E+15,-7.18E+13,0.00E+00,,NO,NO
0.5867,1.33E-02,1.73E+15,-8.74E+13,0.00E+00,,NO,NO
0.6,1.33E-02,1.82E+15,-1.05E+14,0.00E+00,,NO,NO
0.6133,1.33E-02,1.94E+15,-1.25E+14,0.00E+00,,NO,NO
0.6267,1.33E-02,2.07E+15,-1.49E+14,0.00E+00,,NO,NO
0.64,1.33E-02,2.23E+15,-1.76E+14,0.00E+00,,NO,NO
0.6533,1.33E-02,2.42E+15,-2.09E+14,0.00E+00,,NO,NO
0.6667,1.33E-02,2.64E+15,-2.48E+14,0.00E+00,,NO,NO
0.68,1.33E-02,2.91E+15,-2.95E+14,0.00E+00,,NO,NO
0.6933,1.33E-02,3.22E+15,-3.52E+14,0.00E+00,,NO,NO
0.7067,1.33E-02,3.60E+15,-4.22E+14,0.00E+00,,NO,NO
0.72,1.33E-02,4.05E+15,-5.08E+14,0.00E+00,,NO,NO
0.7333,1.33E-02,4.59E+15,-6.17E+14,0.00E+00,,NO,NO
0.7467,1.33E-02,5.25E+15,-7.54E+14,0.00E+00,,NO,NO
0.76,1.33E-02,6.06E+15,-9.29E+14,0.00E+00,,NO,NO
0.7733,1.33E-02,7.06E+15,-1.16E+15,0.00E+00,,NO,NO
0.7867,1.33E-02,8.31E+15,-1.45E+15,-6.33E-05,,NO,NO
0.8,1.33E-02,9.87E+15,-1.84E+15,7.31E-04,,NO,NO
0.8133,1.33E-02,1.19E+16,-2.37E+15,-3.24E-03,,NO,NO
0.8267,1.33E-02,1.44E+16,-3.08E+15,2.05E-02,,NO,NO
0.84,1.33E-02,1.78E+16,-4.06E+15,-7.73E-02,,NO,NO
0.8533,1.33E-02,2.22E+16,-5.40E+15,4.17E-01,,NO,NO
0.8667,1.33E-02,2.80E+16,-7.27E+15,-1.79E+00,,NO,NO
0.88,1.33E-02,3.60E+16,-9.88E+15,8.66E+00,,NO,NO
0.8933,1.33E-02,4.66E+16,-1.37E+16,-2.94E+01,,NO,NO
0.9067,1.33E-02,6.07E+16,-2.00E+16,8.34E+01,,NO,NO
0.92,1.33E-02,7.71E+16,-3.58E+16,-1.94E+01,,NO,NO
0.9333,1.33E-02,8.55E+16,-9.61E+16,9.50E+03,,NO,NO
0.9467,1.33E-02,3.02E+16,-4.23E+17,4.77E+06,,NO,NO
0.96,1.33E-02,-4.01E+17,1.20E+19,-1.29E+07,,NO,NO
0.9733,1.33E-02,6.60E+18,-3.67E+18,-3.13E+07,,NO,NO
0.9867,1.33E-02,-1.63E+18,-1.19E+19,-1.04E+08,,NO,-31109999850
1,1.33E-02,0.00E+00,0.00E+00,-5.00E-01,,NO,NO
0,2.67E-02,0.00E+00,0.00E+00,5.00E-01,,NO,NO
0.01333,2.67E-02,-4.32E+18,-5.97E+18,2.65E+06,,-794999850,NO
0.02667,2.67E-02,1.23E+19,-2.19E+18,-4.28E+06,,NO,NO
0.04,2.67E-02,1.06E+18,5.83E+18,1.33E+07,,NO,NO
0.05333,2.67E-02,3.99E+17,1.93E+17,2.28E+05,,NO,NO
0.06667,2.67E-02,1.66E+17,7.17E+16,2.38E+04,,NO,NO
0.08,2.67E-02,8.66E+16,3.92E+16,2.13E+02,,NO,NO
0.09333,2.67E-02,5.44E+16,2.83E+16,1.63E+01,,NO,NO
0.1067,2.67E-02,3.83E+16,2.14E+16,4.37E+00,,NO,NO
0.12,2.67E-02,2.87E+16,1.61E+16,-1.84E+00,,NO,NO
0.1333,2.67E-02,2.23E+16,1.20E+16,9.14E-01,,NO,NO
0.1467,2.67E-02,1.78E+16,9.03E+15,-2.74E-01,,NO,NO
0.16,2.67E-02,1.44E+16,6.83E+15,1.09E-01,,NO,NO
0.1733,2.67E-02,1.18E+16,5.22E+15,-2.34E-02,,NO,NO
0.1867,2.67E-02,9.78E+15,4.03E+15,8.45E-03,,NO,NO
0.2,2.67E-02,8.21E+15,3.15E+15,-1.04E-03,,NO,NO
0.2133,2.67E-02,6.97E+15,2.49E+15,3.29E-04,,NO,NO
0.2267,2.67E-02,5.97E+15,1.98E+15,0.00E+00,,NO,NO
0.24,2.67E-02,5.17E+15,1.60E+15,0.00E+00,,NO,NO
0.2533,2.67E-02,4.51E+15,1.30E+15,0.00E+00,,NO,NO
0.2667,2.67E-02,3.97E+15,1.06E+15,0.00E+00,,NO,NO
0.28,2.67E-02,3.52E+15,8.74E+14,0.00E+00,,NO,NO
0.2933,2.67E-02,3.15E+15,7.25E+14,0.00E+00,,NO,NO
0.3067,2.67E-02,2.84E+15,6.04E+14,0.00E+00,,NO,NO
0.32,2.67E-02,2.58E+15,5.05E+14,0.00E+00,,NO,NO
0.3333,2.67E-02,2.36E+15,4.23E+14,0.00E+00,,NO,NO
0.3467,2.67E-02,2.18E+15,3.55E+14,0.00E+00,,NO,NO
0.36,2.67E-02,2.02E+15,2.98E+14,0.00E+00,,NO,NO
0.3733,2.67E-02,1.89E+15,2.50E+14,0.00E+00,,NO,NO
0.3867,2.67E-02,1.78E+15,2.08E+14,0.00E+00,,NO,NO
0.4,2.67E-02,1.69E+15,1.72E+14,0.00E+00,,NO,NO
0.4133,2.67E-02,1.62E+15,1.40E+14,0.00E+00,,NO,NO
0.4267,2.67E-02,1.56E+15,1.12E+14,0.00E+00,,NO,NO
0.44,2.67E-02,1.51E+15,8.59E+13,0.00E+00,,NO,NO
0.4533,2.67E-02,1.48E+15,6.22E+13,0.00E+00,,NO,NO
0.4667,2.67E-02,1.45E+15,4.00E+13,0.00E+00,,NO,NO
0.48,2.67E-02,1.44E+15,1.87E+13,0.00E+00,,NO,NO
0.4933,2.67E-02,1.43E+15,-2.03E+12,0.00E+00,,NO,NO
0.5067,2.67E-02,1.44E+15,-2.27E+13,0.00E+00,,NO,NO
0.52,2.67E-02,1.46E+15,-4.39E+13,0.00E+00,,NO,NO
0.5333,2.67E-02,1.48E+15,-6.58E+13,0.00E+00,,NO,NO
0.5467,2.67E-02,1.52E+15,-8.91E+13,0.00E+00,,NO,NO
0.56,2.67E-02,1.57E+15,-1.14E+14,0.00E+00,,NO,NO
0.5733,2.67E-02,1.63E+15,-1.42E+14,0.00E+00,,NO,NO
0.5867,2.67E-02,1.71E+15,-1.73E+14,0.00E+00,,NO,NO
0.6,2.67E-02,1.80E+15,-2.08E+14,0.00E+00,,NO,NO
0.6133,2.67E-02,1.91E+15,-2.48E+14,0.00E+00,,NO,NO
0.6267,2.67E-02,2.03E+15,-2.94E+14,0.00E+00,,NO,NO
0.64,2.67E-02,2.19E+15,-3.48E+14,0.00E+00,,NO,NO
0.6533,2.67E-02,2.37E+15,-4.12E+14,0.00E+00,,NO,NO
0.6667,2.67E-02,2.58E+15,-4.88E+14,0.00E+00,,NO,NO
